project,{evorand_time_budget},{project},{bug_id}{b_f},0{test_id},split{_minute},method
Closure,1200,Closure,30b,03,split1,seqP
Closure,1200,Closure,30b,03,split2,seqP
Closure,1200,Closure,30b,03,split3,seqP
Closure,1200,Closure,30b,03,split4,seqP
Closure,1200,Closure,30b,04,split3,seqP
Closure,1200,Closure,38b,00,split2,seqP
Closure,1200,Closure,38b,00,split4,seqP
Closure,1200,Closure,42b,02,split1,seqP
Closure,1200,Closure,47b,00,split4,seqP
Closure,1200,Closure,47b,03,split1,seqP
Closure,1200,Closure,51b,04,split2,seqP
Closure,1200,Closure,52b,00,split1,seqC
Closure,1200,Closure,59b,00,split4,seqP
Closure,1200,Closure,59b,02,split4,seqC
Closure,1200,Closure,60b,04,split3,seqP
Closure,1200,Closure,61b,01,split3,seqC
Closure,1200,Closure,61b,02,split2,seqP
Closure,1200,Closure,62b,00,split3,seqP
Closure,1200,Closure,62b,02,split1,seqP
Closure,1200,Closure,64b,01,split4,seqP
Closure,1200,Closure,64b,02,split3,seqP
Closure,1200,Closure,65b,00,split4,seqP
Closure,1200,Closure,65b,01,split2,seqP
Closure,1200,Closure,65b,02,split1,seqP
Closure,1200,Closure,65b,03,split2,seqP
Closure,1200,Closure,71b,00,split2,seqP
Closure,1200,Closure,71b,04,split3,seqP
Closure,1200,Closure,73b,00,split3,seqP
Closure,1200,Closure,73b,01,split4,seqC
Closure,1200,Closure,73b,03,split3,seqP
Closure,1200,Closure,94b,02,split2,seqP
Closure,1200,Closure,104b,00,split3,seqP
Closure,1200,Closure,106b,00,split1,seqP
Closure,1200,Closure,135b,00,split1,seqP
Closure,1200,Closure,135b,00,split2,seqP
Closure,1200,Closure,135b,00,split4,seqP
Closure,1200,Closure,135b,01,split4,seqP
Closure,1200,Closure,135b,02,split3,seqP
Closure,1200,Closure,135b,03,split1,seqC
Closure,1200,Closure,137b,00,split1,seqP
Closure,1200,Closure,137b,00,split2,seqP
Closure,1200,Closure,137b,00,split3,seqP
Closure,1200,Closure,137b,00,split4,seqP
Closure,1200,Closure,137b,03,split3,seqP
Closure,1200,Closure,138b,01,split3,seqP
Closure,1200,Closure,139b,02,split1,seqP
Closure,1200,Closure,139b,02,split2,seqP
Closure,1200,Closure,140b,00,split1,seqP
Closure,1200,Closure,140b,00,split2,BOTH
Closure,1200,Closure,140b,00,split3,BOTH
Closure,1200,Closure,140b,00,split4,BOTH
Closure,1200,Closure,140b,03,split4,seqC
Closure,1200,Closure,141b,00,split1,seqP
Closure,1200,Closure,141b,00,split2,seqP
Closure,1200,Closure,141b,00,split3,seqP
Closure,1200,Closure,141b,00,split4,BOTH
Closure,1200,Closure,141b,02,split2,BOTH
Closure,1200,Closure,141b,03,split1,seqP
Closure,1200,Closure,141b,04,split2,seqP
Closure,1200,Closure,141b,04,split4,BOTH
Closure,1200,Closure,144b,00,split3,seqP
Closure,1200,Closure,145b,00,split1,seqP
Closure,1200,Closure,145b,00,split2,BOTH
Closure,1200,Closure,145b,01,split1,seqP
Closure,1200,Closure,145b,01,split3,seqP
Closure,1200,Closure,145b,01,split4,BOTH
Closure,1200,Closure,145b,02,split3,seqC
Closure,1200,Closure,145b,02,split4,BOTH
Closure,1200,Closure,146b,00,split2,seqP
Closure,1200,Closure,146b,00,split3,seqP
Closure,1200,Closure,146b,00,split4,seqP
Closure,1200,Closure,149b,00,split1,seqP
Closure,1200,Closure,149b,00,split2,seqP
Closure,1200,Closure,149b,00,split3,seqP
Closure,1200,Closure,149b,00,split4,seqP
Closure,1200,Closure,149b,01,split2,seqP
Closure,1200,Closure,149b,01,split4,seqP
Closure,1200,Closure,149b,02,split3,seqP
Closure,1200,Closure,149b,02,split4,seqP
Closure,1200,Closure,149b,03,split3,seqP
Closure,1200,Closure,153b,00,split3,seqP
Closure,1200,Closure,155b,03,split1,seqP
Closure,1200,Closure,155b,04,split4,seqP
Closure,1200,Closure,157b,03,split1,seqP
Closure,1200,Closure,157b,04,split2,seqP
Closure,1200,Closure,157b,04,split3,seqP
Closure,1200,Closure,158b,02,split3,seqP
Closure,1200,Closure,160b,01,split2,seqC
Closure,1200,Closure,174b,01,split1,seqC
Closure,1200,Closure,174b,02,split1,seqC
Closure,1200,Closure,174b,03,split1,seqC
Closure,1200,Closure,174b,04,split1,seqC
Codec,1200,Codec,5b,00,split1,seqC
Codec,1200,Codec,5b,01,split1,seqC
Codec,1200,Codec,5b,02,split1,seqC
Codec,1200,Codec,5b,02,split2,seqC
Codec,1200,Codec,5b,03,split1,seqC
Codec,1200,Codec,5b,03,split3,seqC
Codec,1200,Codec,5b,04,split1,seqC
Codec,1200,Codec,5b,04,split3,seqC
Codec,1200,Codec,7b,00,split1,seqP
Codec,1200,Codec,7b,00,split2,seqP
Codec,1200,Codec,7b,00,split3,seqP
Codec,1200,Codec,7b,01,split1,seqP
Codec,1200,Codec,7b,01,split2,seqP
Codec,1200,Codec,7b,01,split3,seqP
Codec,1200,Codec,7b,01,split4,seqP
Codec,1200,Codec,7b,02,split1,seqP
Codec,1200,Codec,7b,02,split2,seqP
Codec,1200,Codec,7b,02,split3,seqP
Codec,1200,Codec,7b,03,split1,seqP
Codec,1200,Codec,7b,03,split3,seqP
Codec,1200,Codec,7b,03,split4,seqP
Codec,1200,Codec,7b,04,split1,seqP
Codec,1200,Codec,7b,04,split2,seqP
Codec,1200,Codec,7b,04,split3,seqP
Codec,1200,Codec,7b,04,split4,seqP
Codec,1200,Codec,9b,00,split1,seqC
Codec,1200,Codec,9b,00,split3,seqC
Codec,1200,Codec,9b,00,split4,seqC
Codec,1200,Codec,9b,01,split1,seqC
Codec,1200,Codec,9b,02,split1,seqC
Codec,1200,Codec,9b,02,split4,seqC
Codec,1200,Codec,9b,03,split2,seqC
Codec,1200,Codec,9b,03,split3,seqC
Codec,1200,Codec,9b,04,split1,seqC
Codec,1200,Codec,11b,00,split1,seqC
Codec,1200,Codec,11b,01,split1,seqC
Codec,1200,Codec,11b,02,split1,seqC
Codec,1200,Codec,11b,03,split1,seqC
Codec,1200,Codec,11b,04,split1,seqC
