project,average_coverage
Chart,72.64
Cli,90.47
Closure,59.16
Codec,92.6
Collections,79.58
Compress,66.35
Csv,93.39
Gson,72.11
JacksonCore,68.13
JacksonDatabind,55.28
JacksonXml,50.58
Jsoup,76.1
JxPath,48.0
Lang,86.85
Math,82.69
Mockito,67.29
Time,83.42
