project,average_coverage
Chart,68.34
Cli,86.96
Closure,58.08
Codec,83.57
Collections,76.6
Compress,65.84
Csv,93.9
Gson,71.47
JacksonCore,64.21
JacksonDatabind,52.03
JacksonXml,48.25
Jsoup,74.15
JxPath,36.41
Lang,85.14
Math,77.92
Mockito,67.86
Time,80.96
