project,SeqP,SeqC,BOTH
Chart,7,1,10
Cli,7,8,11
Closure,37,7,17
Codec,1,4,5
Compress,2,11,6
Csv,2,7,4
Gson,1,2,2
JacksonCore,0,5,5
JacksonDatabind,36,17,11
JacksonXml,0,2,0
Jsoup,13,13,20
JxPath,0,9,2
Lang,6,6,21
Math,18,33,19
Mockito,8,6,7
Time,3,8,4
Total,141,139,144
