initial_test_tool,initial_test_generation_time,project,bug_id,test_id,boosting_time,coverage
EA,1200,Chart,1,0,1200,64.05
EA,1200,Chart,1,1,1200,63.64
EA,1200,Chart,1,2,1200,59.5
EA,1200,Chart,1,3,1200,69.01
EA,1200,Chart,1,4,1200,65.29
EA,1200,Chart,2,0,1200,90.88
EA,1200,Chart,2,1,1200,91.97
EA,1200,Chart,2,2,1200,67.7
EA,1200,Chart,2,3,1200,91.97
EA,1200,Chart,2,4,1200,92.88
EA,1200,Chart,3,0,1200,73.71
EA,1200,Chart,3,1,1200,97.42
EA,1200,Chart,3,2,1200,98.97
EA,1200,Chart,3,3,1200,96.91
EA,1200,Chart,3,4,1200,95.88
EA,1200,Chart,4,0,1200,71.95
EA,1200,Chart,4,1,1200,71.64
EA,1200,Chart,4,2,1200,73.71
EA,1200,Chart,4,3,1200,73.81
EA,1200,Chart,4,4,1200,74.95
EA,1200,Chart,5,0,1200,100.0
EA,1200,Chart,5,1,1200,100.0
EA,1200,Chart,5,2,1200,98.75
EA,1200,Chart,5,3,1200,100.0
EA,1200,Chart,5,4,1200,98.75
EA,1200,Chart,6,0,1200,62.5
EA,1200,Chart,6,1,1200,62.5
EA,1200,Chart,6,2,1200,62.5
EA,1200,Chart,6,3,1200,62.5
EA,1200,Chart,6,4,1200,62.5
EA,1200,Chart,7,0,1200,100.0
EA,1200,Chart,7,1,1200,98.15
EA,1200,Chart,7,2,1200,100.0
EA,1200,Chart,7,3,1200,96.3
EA,1200,Chart,7,4,1200,100.0
EA,1200,Chart,8,0,1200,76.47
EA,1200,Chart,8,1,1200,70.59
EA,1200,Chart,8,2,1200,73.53
EA,1200,Chart,8,3,1200,80.88
EA,1200,Chart,8,4,1200,79.41
EA,1200,Chart,9,0,1200,97.86
EA,1200,Chart,9,1,1200,97.14
EA,1200,Chart,9,2,1200,96.43
EA,1200,Chart,9,3,1200,97.86
EA,1200,Chart,9,4,1200,94.29
EA,1200,Chart,11,0,1200,98.28
EA,1200,Chart,11,1,1200,100.0
EA,1200,Chart,11,2,1200,100.0
EA,1200,Chart,11,3,1200,100.0
EA,1200,Chart,11,4,1200,100.0
EA,1200,Chart,12,0,1200,23.81
EA,1200,Chart,12,1,1200,23.81
EA,1200,Chart,12,2,1200,23.81
EA,1200,Chart,12,3,1200,23.81
EA,1200,Chart,12,4,1200,23.81
EA,1200,Chart,13,0,1200,79.17
EA,1200,Chart,13,1,1200,79.17
EA,1200,Chart,13,2,1200,78.33
EA,1200,Chart,13,3,1200,78.33
EA,1200,Chart,13,4,1200,79.17
EA,1200,Chart,14,0,1200,67.73
EA,1200,Chart,14,1,1200,67.24
EA,1200,Chart,14,2,1200,68.98
EA,1200,Chart,14,3,1200,68.77
EA,1200,Chart,14,4,1200,67.8
EA,1200,Chart,15,0,1200,63.61
EA,1200,Chart,15,1,1200,63.61
EA,1200,Chart,15,2,1200,63.61
EA,1200,Chart,15,3,1200,63.61
EA,1200,Chart,15,4,1200,63.61
EA,1200,Chart,16,0,1200,92.97
EA,1200,Chart,16,1,1200,92.19
EA,1200,Chart,16,2,1200,94.53
EA,1200,Chart,16,3,1200,92.97
EA,1200,Chart,16,4,1200,95.31
EA,1200,Chart,17,0,1200,97.1
EA,1200,Chart,17,1,1200,96.38
EA,1200,Chart,17,2,1200,96.38
EA,1200,Chart,17,3,1200,97.83
EA,1200,Chart,17,4,1200,97.1
EA,1200,Chart,18,0,1200,82.54
EA,1200,Chart,18,1,1200,82.54
EA,1200,Chart,18,2,1200,82.54
EA,1200,Chart,18,3,1200,82.54
EA,1200,Chart,18,4,1200,81.75
EA,1200,Chart,19,0,1200,83.28
EA,1200,Chart,19,1,1200,84.28
EA,1200,Chart,19,2,1200,84.11
EA,1200,Chart,19,3,1200,80.77
EA,1200,Chart,19,4,1200,81.94
EA,1200,Chart,20,0,1200,87.5
EA,1200,Chart,20,1,1200,87.5
EA,1200,Chart,20,2,1200,87.5
EA,1200,Chart,20,3,1200,87.5
EA,1200,Chart,20,4,1200,87.5
EA,1200,Chart,21,0,1200,15.85
EA,1200,Chart,21,1,1200,15.85
EA,1200,Chart,21,2,1200,15.85
EA,1200,Chart,21,3,1200,15.85
EA,1200,Chart,21,4,1200,15.85
EA,1200,Chart,22,0,1200,43.24
EA,1200,Chart,22,1,1200,43.24
EA,1200,Chart,22,2,1200,43.24
EA,1200,Chart,22,3,1200,43.24
EA,1200,Chart,22,4,1200,43.24
EA,1200,Chart,23,0,1200,39.29
EA,1200,Chart,23,1,1200,39.29
EA,1200,Chart,23,2,1200,39.29
EA,1200,Chart,23,3,1200,39.29
EA,1200,Chart,23,4,1200,39.29
EA,1200,Chart,24,0,1200,100.0
EA,1200,Chart,24,1,1200,100.0
EA,1200,Chart,24,2,1200,100.0
EA,1200,Chart,24,3,1200,100.0
EA,1200,Chart,24,4,1200,100.0
EA,1200,Chart,25,0,1200,17.78
EA,1200,Chart,25,1,1200,22.22
EA,1200,Chart,25,2,1200,15.56
EA,1200,Chart,25,3,1200,15.56
EA,1200,Chart,25,4,1200,15.56
EA,1200,Chart,26,0,1200,88.24
EA,1200,Chart,26,1,1200,82.35
EA,1200,Chart,26,2,1200,84.56
EA,1200,Chart,26,3,1200,83.82
EA,1200,Chart,26,4,1200,83.82
EA,1200,Cli,1,0,1200,100.0
EA,1200,Cli,1,1,1200,100.0
EA,1200,Cli,1,2,1200,100.0
EA,1200,Cli,1,3,1200,100.0
EA,1200,Cli,1,4,1200,100.0
EA,1200,Cli,2,0,1200,92.86
EA,1200,Cli,2,1,1200,92.86
EA,1200,Cli,2,2,1200,92.86
EA,1200,Cli,2,3,1200,92.86
EA,1200,Cli,2,4,1200,92.86
EA,1200,Cli,4,0,1200,94.29
EA,1200,Cli,4,1,1200,94.29
EA,1200,Cli,4,2,1200,94.29
EA,1200,Cli,4,3,1200,94.29
EA,1200,Cli,4,4,1200,94.29
EA,1200,Cli,5,0,1200,100.0
EA,1200,Cli,5,1,1200,100.0
EA,1200,Cli,5,2,1200,100.0
EA,1200,Cli,5,3,1200,100.0
EA,1200,Cli,5,4,1200,100.0
EA,1200,Cli,8,0,1200,0.0
EA,1200,Cli,8,1,1200,70.19
EA,1200,Cli,8,2,1200,70.19
EA,1200,Cli,8,3,1200,89.42
EA,1200,Cli,8,4,1200,70.19
EA,1200,Cli,9,0,1200,94.29
EA,1200,Cli,9,1,1200,94.29
EA,1200,Cli,9,2,1200,94.29
EA,1200,Cli,9,3,1200,94.29
EA,1200,Cli,9,4,1200,94.29
EA,1200,Cli,10,0,1200,94.29
EA,1200,Cli,10,1,1200,94.29
EA,1200,Cli,10,2,1200,94.29
EA,1200,Cli,10,3,1200,94.29
EA,1200,Cli,10,4,1200,94.29
EA,1200,Cli,11,0,1200,91.51
EA,1200,Cli,11,1,1200,90.57
EA,1200,Cli,11,2,1200,82.08
EA,1200,Cli,11,3,1200,90.57
EA,1200,Cli,11,4,1200,82.08
EA,1200,Cli,12,0,1200,95.0
EA,1200,Cli,12,1,1200,95.0
EA,1200,Cli,12,2,1200,95.0
EA,1200,Cli,12,3,1200,95.0
EA,1200,Cli,12,4,1200,100.0
EA,1200,Cli,13,0,1200,76.27
EA,1200,Cli,13,1,1200,76.27
EA,1200,Cli,13,2,1200,76.27
EA,1200,Cli,13,3,1200,77.97
EA,1200,Cli,13,4,1200,76.27
EA,1200,Cli,14,0,1200,94.53
EA,1200,Cli,14,1,1200,93.75
EA,1200,Cli,14,2,1200,93.75
EA,1200,Cli,14,3,1200,94.53
EA,1200,Cli,14,4,1200,93.75
EA,1200,Cli,15,0,1200,98.15
EA,1200,Cli,15,1,1200,98.15
EA,1200,Cli,15,2,1200,79.63
EA,1200,Cli,15,3,1200,98.15
EA,1200,Cli,15,4,1200,98.15
EA,1200,Cli,16,0,1200,85.14
EA,1200,Cli,16,1,1200,85.14
EA,1200,Cli,16,2,1200,85.14
EA,1200,Cli,16,3,1200,85.14
EA,1200,Cli,16,4,1200,85.14
EA,1200,Cli,17,0,1200,92.86
EA,1200,Cli,17,1,1200,92.86
EA,1200,Cli,17,2,1200,92.86
EA,1200,Cli,17,3,1200,92.86
EA,1200,Cli,17,4,1200,92.86
EA,1200,Cli,18,0,1200,92.86
EA,1200,Cli,18,1,1200,92.86
EA,1200,Cli,18,2,1200,92.86
EA,1200,Cli,18,3,1200,92.86
EA,1200,Cli,18,4,1200,92.86
EA,1200,Cli,19,0,1200,92.86
EA,1200,Cli,19,1,1200,92.86
EA,1200,Cli,19,2,1200,92.86
EA,1200,Cli,19,3,1200,92.86
EA,1200,Cli,19,4,1200,92.86
EA,1200,Cli,20,0,1200,93.75
EA,1200,Cli,20,1,1200,93.75
EA,1200,Cli,20,2,1200,93.75
EA,1200,Cli,20,3,1200,93.75
EA,1200,Cli,20,4,1200,93.75
EA,1200,Cli,21,0,1200,87.76
EA,1200,Cli,21,1,1200,87.76
EA,1200,Cli,21,2,1200,87.76
EA,1200,Cli,21,3,1200,88.78
EA,1200,Cli,21,4,1200,87.76
EA,1200,Cli,22,0,1200,100.0
EA,1200,Cli,22,1,1200,100.0
EA,1200,Cli,22,2,1200,100.0
EA,1200,Cli,22,3,1200,100.0
EA,1200,Cli,22,4,1200,100.0
EA,1200,Cli,23,0,1200,85.45
EA,1200,Cli,23,1,1200,91.82
EA,1200,Cli,23,2,1200,91.82
EA,1200,Cli,23,3,1200,91.82
EA,1200,Cli,23,4,1200,91.82
EA,1200,Cli,24,0,1200,91.96
EA,1200,Cli,24,1,1200,91.96
EA,1200,Cli,24,2,1200,90.18
EA,1200,Cli,24,3,1200,91.96
EA,1200,Cli,24,4,1200,90.18
EA,1200,Cli,25,0,1200,90.18
EA,1200,Cli,25,1,1200,91.96
EA,1200,Cli,25,2,1200,92.86
EA,1200,Cli,25,3,1200,92.86
EA,1200,Cli,25,4,1200,91.96
EA,1200,Cli,26,0,1200,100.0
EA,1200,Cli,26,1,1200,100.0
EA,1200,Cli,26,2,1200,100.0
EA,1200,Cli,26,3,1200,100.0
EA,1200,Cli,26,4,1200,100.0
EA,1200,Cli,27,0,1200,100.0
EA,1200,Cli,27,1,1200,100.0
EA,1200,Cli,27,2,1200,100.0
EA,1200,Cli,27,3,1200,100.0
EA,1200,Cli,27,4,1200,100.0
EA,1200,Cli,28,0,1200,85.29
EA,1200,Cli,28,1,1200,85.29
EA,1200,Cli,28,2,1200,85.29
EA,1200,Cli,28,3,1200,85.29
EA,1200,Cli,28,4,1200,85.29
EA,1200,Cli,29,0,1200,100.0
EA,1200,Cli,29,1,1200,100.0
EA,1200,Cli,29,2,1200,100.0
EA,1200,Cli,29,3,1200,100.0
EA,1200,Cli,29,4,1200,100.0
EA,1200,Cli,30,0,1200,64.1
EA,1200,Cli,30,1,1200,70.09
EA,1200,Cli,30,2,1200,72.22
EA,1200,Cli,30,3,1200,75.64
EA,1200,Cli,30,4,1200,75.21
EA,1200,Cli,31,0,1200,83.02
EA,1200,Cli,31,1,1200,83.96
EA,1200,Cli,31,2,1200,83.49
EA,1200,Cli,31,3,1200,83.49
EA,1200,Cli,31,4,1200,83.96
EA,1200,Cli,32,0,1200,92.98
EA,1200,Cli,32,1,1200,93.86
EA,1200,Cli,32,2,1200,93.86
EA,1200,Cli,32,3,1200,90.35
EA,1200,Cli,32,4,1200,90.35
EA,1200,Cli,33,0,1200,94.07
EA,1200,Cli,33,1,1200,94.07
EA,1200,Cli,33,2,1200,92.37
EA,1200,Cli,33,3,1200,92.37
EA,1200,Cli,33,4,1200,92.37
EA,1200,Cli,34,0,1200,97.83
EA,1200,Cli,34,1,1200,97.83
EA,1200,Cli,34,2,1200,98.91
EA,1200,Cli,34,3,1200,97.83
EA,1200,Cli,34,4,1200,98.91
EA,1200,Cli,35,0,1200,100.0
EA,1200,Cli,35,1,1200,100.0
EA,1200,Cli,35,2,1200,100.0
EA,1200,Cli,35,3,1200,100.0
EA,1200,Cli,35,4,1200,100.0
EA,1200,Cli,36,0,1200,100.0
EA,1200,Cli,36,1,1200,100.0
EA,1200,Cli,36,2,1200,100.0
EA,1200,Cli,36,3,1200,100.0
EA,1200,Cli,36,4,1200,100.0
EA,1200,Cli,37,0,1200,79.11
EA,1200,Cli,37,1,1200,81.01
EA,1200,Cli,37,2,1200,80.38
EA,1200,Cli,37,3,1200,79.11
EA,1200,Cli,37,4,1200,75.32
EA,1200,Cli,38,0,1200,79.27
EA,1200,Cli,38,1,1200,78.05
EA,1200,Cli,38,2,1200,82.32
EA,1200,Cli,38,3,1200,82.93
EA,1200,Cli,38,4,1200,73.78
EA,1200,Cli,39,0,1200,95.0
EA,1200,Cli,39,1,1200,95.0
EA,1200,Cli,39,2,1200,95.0
EA,1200,Cli,39,3,1200,95.0
EA,1200,Cli,39,4,1200,95.0
EA,1200,Cli,40,0,1200,100.0
EA,1200,Cli,40,1,1200,100.0
EA,1200,Cli,40,2,1200,100.0
EA,1200,Cli,40,3,1200,100.0
EA,1200,Cli,40,4,1200,100.0
EA,1200,Closure,1,0,1200,61.67
EA,1200,Closure,1,1,1200,61.67
EA,1200,Closure,1,2,1200,61.67
EA,1200,Closure,1,3,1200,61.67
EA,1200,Closure,1,4,1200,61.67
EA,1200,Closure,2,0,1200,0.0
EA,1200,Closure,2,1,1200,0.0
EA,1200,Closure,2,2,1200,0.0
EA,1200,Closure,2,3,1200,0.0
EA,1200,Closure,2,4,1200,0.0
EA,1200,Closure,3,0,1200,66.67
EA,1200,Closure,3,1,1200,66.67
EA,1200,Closure,3,2,1200,66.67
EA,1200,Closure,3,3,1200,66.67
EA,1200,Closure,3,4,1200,66.67
EA,1200,Closure,4,0,1200,0.0
EA,1200,Closure,4,1,1200,0.0
EA,1200,Closure,4,2,1200,0.0
EA,1200,Closure,4,3,1200,0.0
EA,1200,Closure,4,4,1200,0.0
EA,1200,Closure,5,0,1200,55.45
EA,1200,Closure,5,1,1200,55.45
EA,1200,Closure,5,2,1200,55.45
EA,1200,Closure,5,3,1200,55.45
EA,1200,Closure,5,4,1200,55.45
EA,1200,Closure,6,0,1200,0.0
EA,1200,Closure,6,1,1200,0.0
EA,1200,Closure,6,2,1200,0.0
EA,1200,Closure,6,3,1200,0.0
EA,1200,Closure,6,4,1200,0.0
EA,1200,Closure,7,0,1200,49.47
EA,1200,Closure,7,1,1200,49.47
EA,1200,Closure,7,2,1200,49.47
EA,1200,Closure,7,3,1200,49.47
EA,1200,Closure,7,4,1200,49.47
EA,1200,Closure,8,0,1200,90.74
EA,1200,Closure,8,1,1200,90.74
EA,1200,Closure,8,2,1200,90.74
