Project,Version,Mode,Total_Tests,Unique_Tests,Filtered_Duplicates,Reduction_Rate
Math,71b,SeqC,3036,31,3005,98.98%
Math,71b,SeqP,63,26,37,58.73%
Math,6b,SeqC,284,69,215,75.70%
Math,6b,SeqP,167,39,128,76.65%
Math,37b,SeqC,234,56,178,76.07%
Math,37b,SeqP,769,23,746,97.01%
Math,41b,SeqC,1803,36,1767,98.00%
Math,41b,SeqP,738,76,662,89.70%
Math,22b,SeqC,2428,46,2382,98.11%
Math,22b,SeqP,1420,45,1375,96.83%
Math,92b,SeqC,164,38,126,76.83%
Math,92b,SeqP,225,85,140,62.22%
Math,55b,SeqC,1544,79,1465,94.88%
Math,55b,SeqP,2903,10,2893,99.66%
Math,44b,SeqC,1235,49,1186,96.03%
Math,44b,SeqP,90,35,55,61.11%
Math,3b,SeqC,1025,49,976,95.22%
Math,3b,SeqP,173,103,70,40.46%
Math,51b,SeqC,896,33,863,96.32%
Math,51b,SeqP,63,7,56,88.89%
Math,54b,SeqC,135,39,96,71.11%
Math,54b,SeqP,237,17,220,92.83%
Math,99b,SeqC,367,51,316,86.10%
Math,99b,SeqP,353,105,248,70.25%
Math,9b,SeqC,413,92,321,77.72%
Math,9b,SeqP,2754,29,2725,98.95%
Math,62b,SeqC,983,13,970,98.68%
Math,62b,SeqP,291,8,283,97.25%
Math,77b,SeqC,531,128,403,75.89%
Math,77b,SeqP,49,32,17,34.69%
Math,56b,SeqC,6169,21,6148,99.66%
Math,56b,SeqP,116,3,113,97.41%
Math,83b,SeqC,2092,58,2034,97.23%
Math,83b,SeqP,19,4,15,78.95%
Math,4b,SeqC,2645,28,2617,98.94%
Math,4b,SeqP,2343,24,2319,98.98%
Math,86b,SeqC,7566,23,7543,99.70%
Math,86b,SeqP,438,10,428,97.72%
Math,11b,SeqC,1997,73,1924,96.34%
Math,11b,SeqP,4165,12,4153,99.71%
Math,27b,SeqC,1961,169,1792,91.38%
Math,27b,SeqP,93,41,52,55.91%
JxPath,5b,SeqC,1081,200,881,81.50%
JxPath,5b,SeqP,1616,1,1615,99.94%
JxPath,10b,SeqC,344,63,281,81.69%
JxPath,10b,SeqP,369,1,368,99.73%
JxPath,21b,SeqC,1376,143,1233,89.61%
JxPath,21b,SeqP,2803,8,2795,99.71%
JxPath,16b,SeqC,1683,268,1415,84.08%
JxPath,16b,SeqP,1733,1,1732,99.94%
JxPath,2b,SeqC,2494,239,2255,90.42%
JxPath,2b,SeqP,1385,1,1384,99.93%
JxPath,18b,SeqC,2412,24,2388,99.00%
JxPath,18b,SeqP,1744,1,1743,99.94%
JxPath,17b,SeqC,5643,12,5631,99.79%
JxPath,17b,SeqP,279,1,278,99.64%
JxPath,13b,SeqC,1418,157,1261,88.93%
JxPath,13b,SeqP,1674,1,1673,99.94%
JxPath,8b,SeqC,674,74,600,89.02%
JxPath,8b,SeqP,359,1,358,99.72%
JxPath,14b,SeqC,2493,105,2388,95.79%
JxPath,14b,SeqP,1138,1,1137,99.91%
JxPath,12b,SeqC,1781,259,1522,85.46%
JxPath,12b,SeqP,1675,1,1674,99.94%
JxPath,15b,SeqC,1351,17,1334,98.74%
JxPath,15b,SeqP,1746,1,1745,99.94%
JxPath,1b,SeqC,1576,150,1426,90.48%
JxPath,1b,SeqP,1385,1,1384,99.93%
JxPath,7b,SeqC,660,103,557,84.39%
JxPath,7b,SeqP,349,1,348,99.71%
JxPath,6b,SeqC,1216,102,1114,91.61%
JxPath,6b,SeqP,1644,1,1643,99.94%
JxPath,19b,SeqC,1788,302,1486,83.11%
JxPath,19b,SeqP,2673,9,2664,99.66%
JxPath,20b,SeqC,437,63,374,85.58%
JxPath,20b,SeqP,3049,1,3048,99.97%
JxPath,22b,SeqC,2859,230,2629,91.96%
JxPath,22b,SeqP,2951,10,2941,99.66%
JxPath,3b,SeqC,2096,67,2029,96.80%
JxPath,3b,SeqP,1369,1,1368,99.93%
JxPath,9b,SeqC,982,297,685,69.76%
JxPath,9b,SeqP,1665,1,1664,99.94%
JxPath,4b,SeqC,1570,180,1390,88.54%
JxPath,4b,SeqP,1456,1,1455,99.93%
JxPath,11b,SeqC,5910,12,5898,99.80%
JxPath,11b,SeqP,279,1,278,99.64%
Cli,30b,SeqC,1815,66,1749,96.36%
Cli,32b,SeqC,282,72,210,74.47%
Cli,31b,SeqC,390,153,237,60.77%
Cli,5b,SeqP,2842,21,2821,99.26%
Cli,10b,SeqC,2452,54,2398,97.80%
Cli,21b,SeqC,800,171,629,78.63%
Cli,21b,SeqP,478,28,450,94.14%
Cli,23b,SeqC,2402,103,2299,95.71%
Cli,16b,SeqC,648,202,446,68.83%
Cli,16b,SeqP,947,35,912,96.30%
Cli,2b,SeqC,2940,13,2927,99.56%
Cli,2b,SeqP,2901,23,2878,99.21%
Cli,18b,SeqC,2748,19,2729,99.31%
Cli,18b,SeqP,2803,26,2777,99.07%
Cli,38b,SeqC,3676,41,3635,98.88%
Cli,38b,SeqP,2595,7,2588,99.73%
Cli,40b,SeqC,7133,33,7100,99.54%
Cli,40b,SeqP,4100,14,4086,99.66%
Cli,17b,SeqC,2834,19,2815,99.33%
Cli,17b,SeqP,2785,25,2760,99.10%
Cli,25b,SeqC,1773,102,1671,94.25%
Cli,25b,SeqP,4298,47,4251,98.91%
Cli,34b,SeqC,1625,182,1443,88.80%
Cli,28b,SeqC,2449,43,2406,98.24%
Cli,13b,SeqC,491,159,332,67.62%
Cli,13b,SeqP,390,26,364,93.33%
Cli,39b,SeqC,7532,22,7510,99.71%
Cli,39b,SeqP,3868,6,3862,99.84%
